date,pm25,pm10,o3,no2,so2
4/11/2015,56,31,40,18,3
4/12/2015,60,42,41,20,3
4/13/2015,64,45,39,21,3
4/14/2015,65,32,39,24,3
4/15/2015,60,20,31,22,2
4/16/2015,56,22,39,22,3
4/17/2015,57,27,37,25,3
4/18/2015,57,10,39,16,2
4/19/2015,30,15,40,22,3
4/20/2015,38,19,41,24,3
4/21/2015,42,20,42,21,3
4/22/2015,45,28,43,31,4
4/23/2015,58,33,39,36,4
4/24/2015,61,17,34,17,3
4/25/2015,38,9,31,16,3
4/26/2015,32,11,33,22,3
4/27/2015,35,13,35,24,3
4/28/2015,41,17,36,22,3
4/29/2015,48,23,35,29,4
4/30/2015,56,18,30,17,3
5/1/2015,46,16,17,12,2
5/2/2015,44,23,28,19,3
5/3/2015,47,31,34,22,4
5/4/2015,58,18,38,17,3
5/5/2015,38,20,43,23,3
5/6/2015,43,30,51,35,4
5/7/2015,53,26,35,25,4
5/8/2015,48,19,18,27,4
5/9/2015,48,,,,
5/11/2015,,40,61,38,5
5/12/2015,68,57,38,46,5
5/13/2015,85,51,45,35,4
5/14/2015,72,23,40,10,1
5/15/2015,29,19,41,12,3
5/16/2015,25,16,42,14,3
5/17/2015,30,27,51,30,5
5/18/2015,50,27,32,21,4
5/19/2015,43,14,39,15,3
5/20/2015,30,13,40,15,3
5/21/2015,27,17,39,17,3
5/22/2015,34,18,38,12,4
5/23/2015,37,17,40,11,3
5/24/2015,32,16,40,17,4
5/25/2015,42,16,41,18,3
5/26/2015,38,17,36,19,3
5/27/2015,35,30,55,27,4
5/28/2015,52,35,45,35,5
5/29/2015,56,24,48,24,5
5/30/2015,54,24,44,18,2
5/31/2015,52,29,45,26,5
6/1/2015,53,29,47,24,4
6/2/2015,55,36,51,23,4
6/3/2015,60,24,49,15,4
6/4/2015,42,28,53,21,5
6/5/2015,54,33,61,21,4
6/6/2015,57,25,64,15,4
6/7/2015,48,29,66,25,5
6/8/2015,51,41,52,29,4
6/9/2015,61,,,,
6/21/2015,,33,57,37,6
6/22/2015,68,28,50,30,5
6/23/2015,62,18,57,24,4
6/24/2015,49,25,59,25,4
6/25/2015,55,35,62,40,5
6/26/2015,70,34,66,33,5
6/27/2015,73,33,63,29,5
6/28/2015,73,37,71,32,6
6/29/2015,73,48,60,35,6
6/30/2015,76,40,54,31,5
7/1/2015,64,25,44,24,5
7/2/2015,49,43,43,24,6
7/3/2015,65,35,47,17,5
7/4/2015,59,41,49,23,5
7/5/2015,67,52,43,38,5
7/6/2015,77,52,43,41,5
7/7/2015,75,38,50,38,5
7/8/2015,66,33,66,28,4
